COUNT	DAYS	ISSUN	LOADER	MAXDATE	MEAN	SD
12	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	ANAGRAFICASIM	420.7438367224	420.4166666667	0.5149286505
3	Mon	FALSE	CONTACT_STAT_3136	621.6906346113	574.6666666667	18.929694486
13	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	CSIDMS_UPLOAD	45.6788791621	40.3846153846	8.761073579
3	Mon	FALSE	DBCARE_EXC_3128_LOAD	493.5132636487	472	8.6602540378
2	Sun	TRUE	DM_GR_STAT_CONFIG	10.8531023681	4.5	0.7071067812
10	Mon;Wed;Thu;Fri;Sat;Tue	FALSE	DW_TARGHE_GG	392.1894434604	373.1	26.6852018917
13	Sat;Mon;Tue;Wed;Thu;Fri	FALSE	EXTELOTOFIASA	1334.365448867	1294.6153846154	65.779351448
12	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	EXT_TRAMA_RD	60.7438367224	60.4166666667	0.5149286505
10	Tue;Wed;Thu;Fri;Sat	FALSE	FDC_EXT_FDCDAILY	291.0974632701	247.3	61.2246319348
3	Sun	TRUE	LDD_TB_UPD_STATUS	22.8377545496	15.6666666667	2.8867513459
13	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	MIDACARE_EXT	221.5486125278	118.4615384615	170.590941233
12	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	netting.3606	2.910503389	2.5833333333	0.5149286505
10	Tue;Wed;Thu;Fri;Sat	FALSE	NLG_UPDCOUNT_3104	192.4163145423	150.8	58.1755962582
3	Sun	TRUE	NLG_UPDCOUNT_3104	780.0358259937	667.3333333333	45.3688586294
5	Fri;Sat;Mon;Wed;Thu	FALSE	NOLINKCHASE_3608_358_SND	1366.4833279964	1364	2
11	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	OCFMIDA_3431	594.360595581	471.8181818182	182.4065887965
11	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	paperte_3671	406.8053863362	406.4545454545	0.5222329679
13	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	PC_CHK_AVAIL_3438	388.5843255577	361	45.6471977964
3	Sun	TRUE	PC_CHK_AVAIL_3438	347.445719373	260.6666666667	34.93326972
13	Sat;Mon;Tue;Wed;Thu;Fri	FALSE	PRODCAT38121	1203.4426501302	1202.8461538462	0.9870962336
11	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	PTLNEWS_3567	892.5924387832	790.9090909091	151.3574937329
2	Fri	FALSE	REP_OFFERTE_3109	368.8531023681	362.5	0.7071067812
3	Sun	TRUE	REPORT_ACTIVITY_3110_3	80.5134350376	65	6.2449979984
12	Mon;Tue;Wed;Thu;Fri;Sat	FALSE	ROA_EXT_3564	1171.0806506487	1170.8333333333	0.3892494721
2	Sun	TRUE	SAP_CERT_GARANZIA	7866.6835972515	630.5	805.3946237715
4	Mon;Wed;Thu;Fri	FALSE	SAP_CERT_GARANZIA_20	63.5456115763	62.75	0.5
9	Tue;Wed;Thu;Fri;Sat	FALSE	SAPUDPNEW_XX_1000	274.7255768337	271.1111111111	4.7022453266
